Carmelo Anthony,2011,26,NYK,NBA,SF,27,27,977,12.7,27.6,.461,2.7,6.4,.424,10.0,21.1,.472,8.4,9.7,.872,2.1,7.2,9.3,4.2,1.3,0.8,3.3,4.6,36.5,,114,111
Carmelo Anthony,2012,27,NYK,NBA,SF,55,55,1876,12.1,28.2,.430,1.9,5.6,.335,10.2,22.6,.454,8.1,10.1,.804,2.4,7.0,9.4,5.5,1.7,0.7,4.0,4.3,34.2,,106,102
Carmelo Anthony,2013,28,NYK,NBA,PF,67,67,2482,14.4,32.1,.449,3.4,8.9,.379,11.0,23.2,.476,9.2,11.0,.830,2.9,7.0,9.9,3.7,1.1,0.7,3.8,4.4,41.4,,112,108
Carmelo Anthony,2014,29,NYK,NBA,PF,77,77,2982,13.2,29.3,.452,3.0,7.4,.402,10.3,21.9,.469,8.2,9.6,.848,2.6,8.5,11.1,4.3,1.7,0.9,3.5,4.0,37.7,,113,108
Carmelo Anthony,2015,30,NYK,NBA,SF,40,40,1428,13.2,29.7,.444,2.2,6.6,.341,10.9,23.1,.474,7.0,8.7,.797,2.7,7.1,9.7,4.5,1.5,0.6,3.3,3.2,35.6,,106,110
Carmelo Anthony,2016,31,NYK,NBA,SF,72,72,2530,11.5,26.6,.434,2.1,6.3,.339,9.4,20.3,.463,6.8,8.2,.829,2.0,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32.0,,107,107
Carmelo Anthony,2017,32,NYK,NBA,SF,74,74,2538,11.9,27.4,.433,3.0,8.3,.359,8.9,19.1,.466,6.0,7.2,.833,1.2,7.4,8.6,4.2,1.2,0.7,3.0,3.9,32.7,,108,113
Carmelo Anthony,2018,33,OKC,NBA,PF,78,78,2501,9.4,23.2,.404,3.4,9.4,.357,6.0,13.8,.437,2.9,3.8,.767,1.3,7.7,9.0,2.0,0.9,1.0,2.0,3.9,25.0,,104,109
Carmelo Anthony,2019,34,HOU,NBA,PF,10,2,294,8.2,20.2,.405,3.5,10.7,.328,4.7,9.5,.491,2.5,3.7,.682,1.5,7.5,9.0,0.8,0.7,1.2,1.3,5.3,22.4,,103,112
Carmelo Anthony,2020,35,POR,NBA,PF,50,50,1623,8.5,19.9,.426,2.1,5.7,.371,6.4,14.2,.447,3.3,3.9,.843,1.8,7.4,9.2,2.3,1.2,0.7,2.6,4.2,22.4,,102,115
OG Anunoby,2018,20,TOR,NBA,SF,74,62,1481,5.4,11.5,.471,2.4,6.6,.371,3.0,5.0,.604,1.3,2.1,.629,1.5,4.7,6.1,1.8,1.7,0.5,1.5,4.3,14.6,,113,108
OG Anunoby,2019,21,TOR,NBA,SF,67,6,1352,6.5,14.3,.453,2.4,7.2,.332,4.1,7.2,.574,1.3,2.2,.581,2.1,4.9,7.0,1.7,1.6,0.8,1.9,5.0,16.6,,104,109
OG Anunoby,2020,22,TOR,NBA,SF,63,62,1897,6.7,13.3,.507,2.1,5.4,.381,4.7,7.8,.593,1.5,2.2,.686,1.9,6.7,8.6,2.5,2.2,1.1,1.9,3.9,17.0,,113,104
Ryan Arcidiacono,2018,23,CHI,NBA,PG,24,0,304,2.7,6.6,.415,1.4,5.0,.290,1.3,1.6,.800,0.8,1.0,.833,0.2,3.9,4.0,5.6,2.1,0.0,2.1,2.9,7.7,,105,112
Ryan Arcidiacono,2019,24,CHI,NBA,PG,81,32,1961,4.6,10.3,.447,2.0,5.4,.373,2.6,5.0,.527,2.2,2.5,.873,0.7,4.7,5.4,6.7,1.6,0.1,1.6,4.2,13.5,,121,115
Ryan Arcidiacono,2020,25,CHI,NBA,PG,58,4,930,4.7,11.4,.409,2.8,7.1,.391,1.9,4.2,.439,1.4,2.0,.711,1.0,4.7,5.7,5.0,1.4,0.2,1.9,5.0,13.5,,111,113
Trevor Ariza,2005,19,NYK,NBA,SF,80,12,1382,6.6,14.9,.442,0.1,0.5,.231,6.5,14.4,.449,4.6,6.7,.695,3.4,5.9,9.3,3.3,2.7,0.7,2.8,5.7,17.9,,103,107
Trevor Ariza,2006,20,TOT,NBA,SF,57,10,999,5.0,12.1,.412,0.1,0.3,.200,4.9,11.8,.416,4.1,6.8,.606,4.2,7.5,11.6,3.3,3.0,0.6,3.3,5.3,14.1,,96,106
Trevor Ariza,2006,20,NYK,NBA,SF,36,10,709,4.5,10.9,.418,0.1,0.2,.333,4.5,10.7,.420,3.1,5.7,.545,3.7,6.6,10.2,3.4,3.2,0.7,3.4,5.8,12.3,,92,107
Trevor Ariza,2006,20,ORL,NBA,SF,21,0,290,6.0,15.0,.400,0.0,0.4,.000,6.0,14.6,.410,6.6,9.4,.700,5.4,9.7,15.2,2.8,2.6,0.4,3.0,4.1,18.6,,104,104
Trevor Ariza,2007,21,ORL,NBA,SG,57,7,1278,8.4,15.5,.539,0.0,0.3,.000,8.4,15.2,.549,4.4,7.1,.620,4.1,6.3,10.4,2.7,2.5,0.8,3.5,5.6,21.2,,108,103
Trevor Ariza,2008,22,TOT,NBA,SF,35,3,546,6.4,12.6,.507,0.5,1.7,.278,5.9,10.9,.542,4.5,6.9,.653,2.8,7.2,10.0,4.1,2.9,1.0,2.1,4.2,17.7,,116,103
Trevor Ariza,2008,22,ORL,NBA,SF,11,0,115,6.3,13.9,.452,0.0,1.3,.000,6.3,12.5,.500,3.6,6.7,.533,2.2,8.5,10.7,3.6,2.2,1.3,2.2,4.0,16.1,,100,102
Trevor Ariza,2008,22,LAL,NBA,SF,24,3,431,6.4,12.2,.524,0.6,1.7,.333,5.8,10.5,.556,4.8,7.0,.683,2.9,6.9,9.8,4.2,3.0,0.9,2.1,4.2,18.2,,121,103
Trevor Ariza,2009,23,LAL,NBA,SF,82,20,1999,7.0,15.2,.460,1.6,4.9,.319,5.4,10.3,.526,3.1,4.3,.710,2.8,6.1,9.0,3.7,3.5,0.6,2.2,4.2,18.6,,112,102
Trevor Ariza,2010,24,HOU,NBA,SF,72,71,2629,7.6,19.4,.394,2.6,7.9,.334,5.0,11.5,.436,2.9,4.4,.649,1.5,6.3,7.8,5.4,2.4,0.8,3.1,3.1,20.8,,99,106
Trevor Ariza,2011,25,NOH,NBA,SF,75,75,2600,6.3,15.9,.398,1.7,5.6,.303,4.6,10.2,.450,2.9,4.1,.701,1.3,7.2,8.5,3.4,2.5,0.6,2.5,3.7,17.2,,97,104
Trevor Ariza,2012,26,NOH,NBA,SF,41,41,1350,6.8,16.2,.417,1.2,3.5,.333,5.6,12.7,.440,3.2,4.1,.775,1.7,7.0,8.7,5.4,2.8,1.0,3.1,2.9,17.9,,100,103
Trevor Ariza,2013,27,WAS,NBA,SF,56,15,1471,6.7,16.0,.417,2.7,7.4,.364,4.0,8.6,.463,2.8,3.4,.821,1.6,7.9,9.4,4.0,2.5,0.7,3.0,2.5,18.8,,102,101
Trevor Ariza,2014,28,WAS,NBA,SF,77,77,2723,7.4,16.1,.456,3.4,8.4,.407,4.0,7.8,.509,2.8,3.7,.772,1.9,7.1,9.0,3.6,2.4,0.4,2.5,3.4,20.9,,113,104
Trevor Ariza,2015,29,HOU,NBA,SF,82,82,2930,6.2,15.4,.402,3.3,9.4,.350,2.9,6.0,.485,2.1,2.4,.853,1.3,6.5,7.8,3.5,2.6,0.3,2.4,3.2,17.8,,107,103
Trevor Ariza,2016,30,HOU,NBA,SF,81,81,2859,6.1,14.8,.416,3.2,8.6,.371,3.0,6.2,.478,2.2,2.8,.783,1.2,5.1,6.3,3.2,2.8,0.4,1.9,3.0,17.6,,110,108
Trevor Ariza,2017,31,HOU,NBA,SF,80,80,2773,5.6,13.8,.409,3.3,9.6,.344,2.3,4.2,.556,1.6,2.2,.738,0.9,7.0,7.9,3.0,2.5,0.3,1.3,2.3,16.2,,113,108
Trevor Ariza,2018,32,HOU,NBA,SF,67,67,2269,5.8,14.1,.412,3.7,10.0,.368,2.1,4.1,.519,1.6,1.9,.854,0.7,5.7,6.4,2.3,2.1,0.3,1.1,2.9,17.0,,114,107
Trevor Ariza,2019,33,TOT,NBA,SF,69,69,2349,5.9,14.9,.399,2.9,8.8,.334,3.0,6.1,.493,2.6,3.3,.793,1.0,6.5,7.5,5.1,1.8,0.4,2.1,2.6,17.5,,107,115
Trevor Ariza,2019,33,PHO,NBA,SF,26,26,884,4.6,12.3,.379,2.7,7.5,.360,1.9,4.8,.409,1.9,2.3,.837,0.9,7.0,7.8,4.7,2.1,0.4,2.1,2.4,13.9,,104,115
Trevor Ariza,2019,33,WAS,NBA,SF,43,43,1465,6.7,16.5,.409,3.1,9.5,.322,3.7,6.9,.528,3.0,3.9,.777,1.1,6.2,7.3,5.3,1.7,0.4,2.2,2.8,19.6,,109,115
Trevor Ariza,2020,34,TOT,NBA,SF,53,21,1493,4.6,10.5,.438,2.5,6.7,.372,2.1,3.8,.556,2.0,2.4,.838,1.1,6.9,7.9,2.9,2.2,0.5,1.8,3.6,13.7,,114,112
Trevor Ariza,2020,34,SAC,NBA,SF,32,0,791,3.9,10.2,.388,2.7,7.5,.352,1.3,2.7,.488,1.3,1.7,.778,1.3,7.7,9.0,3.1,2.2,0.4,1.7,3.9,11.8,,108,110
Trevor Ariza,2020,34,POR,NBA,SF,21,21,702,5.3,10.8,.491,2.3,5.8,.400,3.0,5.0,.595,2.8,3.2,.872,0.9,5.9,6.8,2.8,2.3,0.5,1.9,3.3,15.7,,121,113
Jamel Artis,2018,25,ORL,NBA,SG,15,1,279,5.4,13.9,.392,1.4,5.1,.276,4.0,8.8,.460,1.2,2.1,.583,0.7,6.0,6.7,3.2,0.4,0.5,1.4,1.9,13.5,,94,114
D.J. Augustin,2009,21,CHA,NBA,PG,72,12,1908,7.6,17.7,.430,3.1,7.0,.439,4.5,10.7,.424,5.9,6.6,.893,0.5,3.3,3.8,7.1,1.2,0.1,3.4,4.0,24.2,,115,110
D.J. Augustin,2010,22,CHA,NBA,PG,80,2,1472,6.1,15.7,.386,2.5,6.4,.393,3.5,9.3,.381,3.7,4.7,.779,0.4,3.1,3.5,7.0,1.6,0.2,2.7,4.6,18.3,,106,107
D.J. Augustin,2011,23,CHA,NBA,PG,82,82,2757,7.7,18.6,.416,2.2,6.5,.333,5.6,12.1,.461,5.2,5.8,.906,0.7,3.6,4.4,9.7,1.0,0.1,3.0,3.0,22.9,,112,112
D.J. Augustin,2012,24,CHA,NBA,PG,48,46,1408,6.8,18.2,.376,2.3,6.7,.341,4.6,11.5,.396,3.9,4.5,.875,0.9,3.2,4.1,11.5,1.3,0.0,4.1,2.4,19.9,,100,114
D.J. Augustin,2013,25,IND,NBA,PG,76,5,1226,4.5,12.8,.350,2.9,8.2,.353,1.6,4.5,.346,3.6,4.3,.838,0.9,3.1,4.0,7.4,1.5,0.1,3.0,2.8,15.5,,109,104
D.J. Augustin,2014,26,TOT,NBA,PG,71,9,1939,8.2,19.7,.415,3.6,9.1,.401,4.5,10.6,.427,5.5,6.2,.885,0.4,3.2,3.6,8.6,1.5,0.1,3.4,4.0,25.5,,113,105
D.J. Augustin,2014,26,TOR,NBA,PG,10,0,82,4.5,15.3,.292,0.6,7.0,.091,3.8,8.3,.462,3.8,3.8,1.000,0.0,2.5,2.5,6.4,0.6,0.0,5.7,4.5,13.4,,75,111
D.J. Augustin,2014,26,CHI,NBA,PG,61,9,1857,8.3,19.9,.419,3.8,9.2,.411,4.6,10.7,.426,5.6,6.3,.882,0.4,3.2,3.6,8.7,1.5,0.1,3.3,4.0,26.0,,114,105
D.J. Augustin,2015,27,TOT,NBA,PG,82,14,1964,6.7,16.9,.399,2.2,6.4,.337,4.6,10.4,.436,4.6,5.3,.868,0.5,3.7,4.2,9.2,1.3,0.1,3.8,2.4,20.2,,107,110
D.J. Augustin,2015,27,DET,NBA,PG,54,13,1287,7.6,18.5,.410,2.0,6.0,.327,5.6,12.5,.450,5.9,6.8,.870,0.5,3.5,4.0,10.6,1.3,0.1,4.4,2.5,23.1,,108,110
D.J. Augustin,2015,27,OKC,NBA,PG,28,1,677,5.1,13.8,.371,2.5,7.1,.354,2.6,6.7,.389,2.3,2.7,.861,0.5,4.0,4.5,6.5,1.2,0.1,2.6,2.4,15.0,,105,110
D.J. Augustin,2016,28,TOT,NBA,PG,62,0,1178,6.3,14.8,.423,2.9,7.1,.405,3.4,7.7,.440,4.4,5.4,.805,0.3,3.7,4.0,8.4,1.6,0.2,3.6,3.6,19.8,,113,111
D.J. Augustin,2016,28,OKC,NBA,PG,34,0,519,4.4,11.6,.380,2.3,5.8,.393,2.1,5.7,.367,2.5,3.3,.765,0.5,3.6,4.1,6.3,1.2,0.2,2.9,3.9,13.6,,106,110
D.J. Augustin,2016,28,DEN,NBA,PG,28,0,659,7.8,17.4,.445,3.3,8.1,.411,4.4,9.3,.475,5.9,7.2,.819,0.2,3.7,4.0,10.0,1.9,0.2,4.1,3.3,24.7,,116,111
D.J. Augustin,2017,29,ORL,NBA,PG,78,20,1538,6.3,16.7,.377,3.1,8.8,.347,3.2,7.8,.412,4.2,5.2,.814,0.5,3.3,3.8,6.7,1.0,0.0,2.9,3.3,19.9,,104,115
D.J. Augustin,2018,30,ORL,NBA,PG,75,36,1760,6.8,15.0,.452,3.2,7.6,.419,3.6,7.5,.485,4.6,5.3,.868,0.8,3.6,4.5,8.0,1.5,0.0,3.4,2.6,21.3,,116,114
D.J. Augustin,2019,31,ORL,NBA,PG,81,81,2269,6.9,14.6,.470,2.8,6.7,.421,4.0,7.9,.511,3.9,4.5,.866,0.9,3.5,4.4,9.2,1.1,0.1,2.8,2.5,20.4,,122,112
D.J. Augustin,2020,32,ORL,NBA,PG,49,6,1215,6.3,15.9,.393,2.4,7.0,.345,3.9,9.0,.430,5.6,6.3,.885,0.7,3.7,4.4,9.0,1.2,0.0,2.8,2.1,20.5,,114,114
Deandre Ayton,2019,20,PHO,NBA,C,71,70,2183,11.1,19.0,.585,0.0,0.1,.000,11.1,18.9,.588,3.1,4.1,.746,4.9,11.1,15.9,2.7,1.3,1.5,2.8,4.6,25.4,,117,113
Deandre Ayton,2020,21,PHO,NBA,C,30,25,996,12.1,22.1,.548,0.0,0.1,.000,12.1,22.0,.552,2.9,3.7,.769,5.8,11.3,17.1,2.7,1.0,2.4,3.4,4.6,27.1,,110,108
Dwayne Bacon,2018,22,CHO,NBA,SG,53,6,713,4.9,13.1,.375,0.8,2.9,.256,4.2,10.2,.409,1.4,1.7,.800,0.3,8.2,8.5,2.6,1.1,0.1,1.6,3.1,12.0,,88,111
