Deonte Burton,Deonte Burton,Oklahoma City Thunder,2019,"$1,416,852"
Deonte Burton,Deonte Burton,Oklahoma City Thunder,2020,"$1,663,861"
Jimmy Butler,Jimmy Butler,Miami Heat,2019,"$32,742,000"
Jimmy Butler,Jimmy Butler,Miami Heat,2020,"$34,379,100"
Jimmy Butler,Jimmy Butler,Miami Heat,2021,"$36,016,200"
Jimmy Butler,Jimmy Butler,Miami Heat,2022,"$37,653,300"
Bruno Caboclo,Bruno Caboclo,Houston Rockets,2019,"$1,845,301"
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,Los Angeles Lakers,2019,"$8,089,282"
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,Los Angeles Lakers,2020,"$8,493,746"
Vlatko Čančar,Vlatko Čančar,Denver Nuggets,2019,"$1,517,981"
Vlatko Čančar,Vlatko Čančar,Denver Nuggets,2020,"$898,310"
Vlatko Čančar,Vlatko Čančar,Denver Nuggets,2021,"$1,782,621"
Clint Capela,Clint Capela,Atlanta Hawks,2019,"$16,456,522"
Clint Capela,Clint Capela,Atlanta Hawks,2020,"$17,500,000"
Clint Capela,Clint Capela,Atlanta Hawks,2021,"$18,543,478"
Clint Capela,Clint Capela,Atlanta Hawks,2022,"$19,586,957"
DeMarre Carroll,DeMarre Carroll,Houston Rockets,2019,"$811,447"
Jevon Carter,Jevon Carter,Phoenix Suns,2019,"$1,416,852"
Vince Carter,Vince Carter,Atlanta Hawks,2019,"$2,564,753"
Wendell Carter Jr.,Wendell Carter Jr.,Chicago Bulls,2019,"$5,201,400"
Wendell Carter Jr.,Wendell Carter Jr.,Chicago Bulls,2020,"$5,448,840"
Wendell Carter Jr.,Wendell Carter Jr.,Chicago Bulls,2021,"$6,920,027"
Michael Carter-Williams,Michael Carter-Williams,Orlando Magic,2019,"$2,028,594"
Alex Caruso,Alex Caruso,Los Angeles Lakers,2019,"$2,750,000"
Alex Caruso,Alex Caruso,Los Angeles Lakers,2020,"$2,750,000"
Willie Cauley-Stein,Willie Cauley-Stein,Dallas Mavericks,2019,"$2,177,483"
Willie Cauley-Stein,Willie Cauley-Stein,Dallas Mavericks,2020,"$2,286,357"
Tyson Chandler,Tyson Chandler,Houston Rockets,2019,"$2,564,753"
Wilson Chandler,Wilson Chandler,Brooklyn Nets,2019,"$2,564,753"
Joe Chealey,Joe Chealey,Charlotte Hornets,2019,"$163,356"
Marquese Chriss,Marquese Chriss,Golden State Warriors,2019,"$654,468"
Marquese Chriss,Marquese Chriss,Golden State Warriors,2020,"$1,824,003"
Gary Clark,Gary Clark,Houston Rockets,2019,"$708,426"
Brandon Clarke,Brandon Clarke,Memphis Grizzlies,2019,"$2,478,840"
Brandon Clarke,Brandon Clarke,Memphis Grizzlies,2020,"$2,602,920"
Brandon Clarke,Brandon Clarke,Memphis Grizzlies,2021,"$2,726,880"
Brandon Clarke,Brandon Clarke,Memphis Grizzlies,2022,"$4,343,920"
