Lavoy Allen,2016,26,IND,NBA,PF,79,1599,,,1%,89%,11%,6.3,7.3,39,11,92,11,30,3,183,6,22
Lavoy Allen,2017,27,IND,NBA,PF,61,871,,,,84%,16%,-5.9,-7.3,18,7,50,2,10,0,135,3,13
Al-Farouq Aminu,2011,20,LAC,NBA,SF,81,1452,,,88%,12%,,-7.3,-5.8,47,31,63,16,54,4,132,12,37
Al-Farouq Aminu,2012,21,NOH,NBA,SF,66,1477,,1%,88%,12%,,-0.6,6.8,30,30,67,18,49,3,141,13,39
Al-Farouq Aminu,2013,22,NOH,NBA,SF,76,2066,,,94%,5%,1%,-1.2,7.4,42,43,65,16,59,5,239,13,38
Al-Farouq Aminu,2014,23,NOP,NBA,SF,80,2045,,,76%,23%,,-4.4,-3.7,34,26,75,18,65,8,246,10,47
Al-Farouq Aminu,2015,24,DAL,NBA,SF,74,1366,,1%,79%,20%,,6.2,4.9,15,17,63,9,47,5,143,12,22
Al-Farouq Aminu,2016,25,POR,NBA,SF,82,2341,,,56%,44%,1%,1.7,2.2,44,44,70,16,74,15,335,17,35
Al-Farouq Aminu,2017,26,POR,NBA,PF,61,1773,,,,95%,5%,1.8,3.9,35,30,48,9,67,11,241,13,24
Al-Farouq Aminu,2018,27,POR,NBA,PF,69,2072,,,3%,96%,1%,5.2,4.9,34,21,61,8,32,8,197,5,16
Al-Farouq Aminu,2019,28,POR,NBA,PF,81,2292,,,,99%,1%,8.1,10,29,15,58,14,72,15,243,13,29
Al-Farouq Aminu,2020,29,ORL,NBA,PF,18,380,,,,98%,2%,-5.4,-5,7,3,13,4,14,3,46,1,4
Justin Anderson,2016,22,DAL,NBA,SF,55,647,2%,15%,77%,7%,,1.4,1.9,11,6,24,2,21,0,70,3,11
Justin Anderson,2017,23,TOT,NBA,SF,75,1228,,6%,84%,11%,,-7.7,-3.7,24,22,58,10,57,6,156,9,17
Justin Anderson,2017,23,DAL,NBA,SF,51,710,,8%,82%,10%,,-9.6,-7.8,17,12,36,6,41,5,73,5,11
Justin Anderson,2017,23,PHI,NBA,SF,24,518,,3%,85%,12%,,-5.3,0.7,7,10,22,4,16,1,83,4,6
Justin Anderson,2018,24,PHI,NBA,SF,38,519,,10%,73%,17%,,-6.3,-12.7,9,1,25,2,18,1,58,4,13
Justin Anderson,2019,25,ATL,NBA,SF,48,463,,5%,46%,48%,1%,-6.1,-0.2,9,6,23,4,17,4,57,4,9
Justin Anderson,2020,26,BRK,NBA,SF,3,17,,35%,65%,,,-22.2,-21.6,0,0,1,0,1,0,0,0,0
Kyle Anderson,2015,21,SAS,NBA,SF,33,358,3%,17%,69%,12%,,-5.2,-12.9,5,2,13,1,8,1,63,4,6
Kyle Anderson,2016,22,SAS,NBA,SF,78,1245,,1%,65%,34%,,9.4,-3.1,35,7,42,7,34,9,277,8,16
Kyle Anderson,2017,23,SAS,NBA,SF,72,1020,,21%,69%,9%,,10.3,3.2,15,11,28,2,25,7,215,3,15
Kyle Anderson,2018,24,SAS,NBA,SF,74,1978,,,63%,37%,,4.3,2.7,58,15,44,3,65,10,481,16,31
Kyle Anderson,2019,25,MEM,NBA,SF,43,1281,,,74%,25%,1%,-2.6,-0.1,28,11,37,9,31,8,295,9,14
Kyle Anderson,2020,26,MEM,NBA,PF,59,1140,,,14%,62%,24%,-3.9,-5.1,29,15,47,4,33,8,297,5,13
Ryan Anderson,2009,20,NJN,NBA,PF,66,1312,,,1%,84%,15%,-0.9,2.8,16,24,101,11,53,10,117,8,53
Ryan Anderson,2010,21,ORL,NBA,PF,63,911,,,,95%,5%,9.2,1.2,19,14,38,10,38,6,86,9,22
Ryan Anderson,2011,22,ORL,NBA,PF,64,1424,,,1%,67%,33%,9.2,4.8,21,11,69,8,52,9,124,10,25
Ryan Anderson,2012,23,ORL,NBA,PF,61,1964,,,,93%,7%,6.5,14.6,23,17,64,5,73,14,129,16,37
Ryan Anderson,2013,24,NOH,NBA,PF,81,2503,,,2%,89%,10%,-6.5,-5,28,35,75,17,75,9,217,9,58
Ryan Anderson,2014,25,NOP,NBA,PF,22,795,,,,83%,17%,1.6,5.3,3,12,25,3,23,0,38,3,13
Ryan Anderson,2015,26,NOP,NBA,PF,61,1675,,,4%,95%,2%,-1.2,-4.5,18,22,53,10,73,6,129,17,29
Ryan Anderson,2016,27,NOP,NBA,PF,66,2008,,,1%,85%,14%,-0.7,6.6,31,32,44,11,94,8,177,14,41
Ryan Anderson,2017,28,HOU,NBA,PF,72,2116,,,,95%,5%,9,6.1,14,23,68,10,59,12,185,11,24
Ryan Anderson,2018,29,HOU,NBA,PF,66,1725,,,,76%,24%,6.4,-3.9,11,14,52,9,42,2,155,6,13
Ryan Anderson,2019,30,TOT,NBA,PF,25,322,,,,97%,4%,-11.8,-7.5,6,1,13,2,8,3,45,1,7
Ryan Anderson,2019,30,PHO,NBA,PF,15,278,,,,100%,,-15.7,-7.2,6,0,12,2,7,3,41,1,5
Ryan Anderson,2019,30,MIA,NBA,PF,10,44,,,,74%,26%,13,13.3,0,1,1,0,1,0,4,0,2
Ryan Anderson,2020,31,HOU,NBA,PF,2,14,,,,,100%,21.9,18.2,1,0,1,0,0,0,6,0,0
Ike Anigbogu,2018,19,IND,NBA,C,11,30,,,,,100%,-24.7,-26.5,1,1,0,0,3,0,0,0,2
Ike Anigbogu,2019,20,IND,NBA,C,3,6,,,,,100%,-23.1,-26.5,0,0,0,0,0,0,2,0,0
Giannis Antetokounmpo,2014,19,MIL,NBA,SF,77,1897,,1%,74%,24%,,-5.2,7.2,45,31,71,22,76,10,337,8,29
Giannis Antetokounmpo,2015,20,MIL,NBA,SG,81,2541,,32%,47%,21%,,0.4,-1,49,42,86,49,134,9,487,34,65
Giannis Antetokounmpo,2016,21,MIL,NBA,PG,80,2823,40%,59%,1%,,,-3,3.7,85,52,107,31,176,8,758,38,61
Giannis Antetokounmpo,2017,22,MIL,NBA,SF,80,2845,,3%,65%,31%,,1,3.2,83,69,100,40,261,7,1057,60,74
Giannis Antetokounmpo,2018,23,MIL,NBA,PF,75,2756,,,,93%,7%,2.8,9.4,79,67,82,39,305,3,890,77,85
Giannis Antetokounmpo,2019,24,MIL,NBA,PF,72,2358,,,,73%,27%,12.5,9.7,80,65,67,68,347,6,1093,103,100
Giannis Antetokounmpo,2020,25,MIL,NBA,PF,57,1763,,,,77%,23%,16.4,11.8,60,54,44,55,276,10,836,86,64
Kostas Antetokounmpo,2019,21,DAL,NBA,PF,2,11,,,,,100%,18.2,20,0,1,0,0,1,0,0,0,1
Kostas Antetokounmpo,2020,22,LAL,NBA,PF,3,5,,,,,100%,-6.4,-13.9,0,0,0,0,0,0,2,0,0
Thanasis Antetokounmpo,2016,23,NYK,NBA,SF,2,6,,,100%,,,-46.2,-43.4,0,0,1,0,0,0,0,0,0
Thanasis Antetokounmpo,2020,27,MIL,NBA,SF,18,93,8%,60%,32%,,,-7.8,-19.6,5,2,4,3,7,0,22,2,3
Carmelo Anthony,2004,19,DEN,NBA,SF,82,2995,,4%,88%,8%,,0.8,-0.8,66,68,67,51,213,,490,40,138
Carmelo Anthony,2005,20,DEN,NBA,SF,75,2608,,3%,86%,12%,,2.7,1.8,65,60,85,58,203,,402,40,120
Carmelo Anthony,2006,21,DEN,NBA,SF,80,2941,,,86%,14%,,0.4,0.6,61,59,95,47,285,13,475,66,120
Carmelo Anthony,2007,22,DEN,NBA,SF,65,2486,,15%,81%,5%,,2,0.3,71,63,58,53,209,12,544,52,104
Carmelo Anthony,2008,23,DEN,NBA,SF,77,2806,,16%,82%,2%,,2.6,-3.3,68,63,77,55,224,12,567,43,94
Carmelo Anthony,2009,24,DEN,NBA,SF,66,2277,,3%,95%,2%,,6.8,7.5,70,59,67,39,196,10,480,38,82
Carmelo Anthony,2010,25,DEN,NBA,SF,69,2634,,,83%,17%,,5.3,3.4,60,61,83,49,256,16,504,59,109
Carmelo Anthony,2011,26,TOT,NBA,SF,77,2751,,1%,81%,19%,,3.5,0.6,68,52,85,50,270,12,517,65,108
Carmelo Anthony,2011,26,DEN,NBA,SF,50,1774,,,77%,23%,,4.4,-1.2,46,37,52,32,185,9,334,39,87
Carmelo Anthony,2011,26,NYK,NBA,SF,27,977,,2%,87%,11%,,1.7,0.8,22,15,33,18,85,3,183,26,21
Carmelo Anthony,2012,27,NYK,NBA,SF,55,1876,,1%,73%,26%,,2.5,-2,58,37,65,29,149,7,463,28,72
Carmelo Anthony,2013,28,NYK,NBA,PF,67,2482,,,18%,78%,3%,5.7,3.4,55,59,79,35,208,15,442,39,88
Carmelo Anthony,2014,29,NYK,NBA,PF,77,2982,,,38%,62%,1%,1.2,9,72,52,90,40,203,11,588,41,71
Carmelo Anthony,2015,30,NYK,NBA,SF,40,1428,,,79%,21%,,-4.1,9.4,36,20,26,19,95,3,284,23,36
Carmelo Anthony,2016,31,NYK,NBA,SF,72,2530,,2%,91%,8%,,-0.8,5.7,80,41,73,30,154,6,704,25,76
Carmelo Anthony,2017,32,NYK,NBA,SF,74,2538,,,69%,31%,,-4.7,-2.3,69,42,87,26,155,5,496,30,37
Carmelo Anthony,2018,33,OKC,NBA,PF,78,2501,,,,90%,10%,5,4.8,32,21,89,20,80,8,262,13,55
Carmelo Anthony,2019,34,HOU,NBA,PF,10,294,,,,81%,19%,-11.7,-18.1,2,1,11,4,5,5,13,1,4
Carmelo Anthony,2020,35,POR,NBA,PF,50,1623,,,,86%,14%,0,2.9,28,17,55,25,68,6,197,13,39
OG Anunoby,2018,20,TOR,NBA,SF,74,1481,,,76%,24%,,10.7,4.4,19,13,58,4,33,4,135,9,23
OG Anunoby,2019,21,TOR,NBA,SF,67,1352,,,23%,75%,2%,-2.1,-12.2,21,13,63,11,32,11,113,10,32
OG Anunoby,2020,22,TOR,NBA,SF,63,1897,,2%,60%,36%,1%,6.2,-1.8,26,20,69,13,38,13,252,12,54
Ryan Arcidiacono,2018,23,CHI,NBA,PG,24,304,97%,3%,,,,-5.1,2.8,9,4,6,0,1,2,85,0,0
Ryan Arcidiacono,2019,24,CHI,NBA,PG,81,1961,96%,4%,,,,-5.7,5.7,33,15,67,10,38,26,633,6,17
Ryan Arcidiacono,2020,25,CHI,NBA,PG,58,930,100%,,,,,-4.2,-1.3,24,8,45,1,9,32,237,0,10
Trevor Ariza,2005,19,NYK,NBA,SF,80,1382,,19%,80%,1%,,-0.6,3.5,27,21,36,16,77,,188,12,32
Trevor Ariza,2006,20,TOT,NBA,SF,57,999,,11%,88%,1%,,0.8,5.6,26,15,34,10,50,9,129,5,18
Trevor Ariza,2006,20,NYK,NBA,SF,36,709,,15%,85%,,,-0.8,7.7,17,11,23,8,27,7,99,3,8
