Kent Bazemore,pbp.2017,27,ATL,NBA,SF,6,150,2%,52%,46%,1%,,6.9,16.4,9,6,10,1,4,2,42,0,2
Bradley Beal,pbp.2014,20,WAS,NBA,SG,11,458,,100%,,,,3.1,15.7,9,9,17,3,17,2,107,4,10
Bradley Beal,pbp.2015,21,WAS,NBA,SG,10,418,2%,97%,1%,,,3.7,-3.3,6,14,9,1,22,4,116,4,16
Bradley Beal,pbp.2017,23,WAS,NBA,SG,13,505,,99%,1%,,,2.9,18,15,5,18,5,22,2,81,7,10
Bradley Beal,pbp.2018,24,WAS,NBA,SG,6,216,2%,90%,8%,,,-10.5,-31,8,3,8,3,8,1,39,1,5
Malik Beasley,pbp.2019,22,DEN,NBA,SG,14,281,1%,44%,55%,,,-0.5,-4.8,3,2,11,1,16,2,35,4,3
Michael Beasley,pbp.2009,20,MIA,NBA,PF,7,178,,,,78%,22%,-5.8,-15.1,2,7,9,1,8,0,20,1,7
Michael Beasley,pbp.2010,21,MIA,NBA,PF,5,135,,,,73%,27%,-8.2,0.6,5,6,6,1,4,0,6,1,4
Michael Beasley,pbp.2014,25,MIA,NBA,SF,4,23,,,44%,56%,,5.6,3.2,0,0,1,0,2,0,4,1,2
Michael Beasley,pbp.2016,27,HOU,NBA,PF,5,80,,,4%,88%,9%,-15.3,6.8,2,2,4,2,3,0,7,1,4
Michael Beasley,pbp.2017,28,MIL,NBA,PF,4,48,,,6%,94%,,4.4,7.1,1,1,4,0,1,1,2,0,4
Marco Belinelli,pbp.2011,24,NOH,NBA,SG,6,173,1%,81%,19%,,,-11.8,-7.7,1,1,4,2,2,2,9,0,6
Marco Belinelli,pbp.2013,26,CHI,NBA,SG,12,325,,95%,5%,,,-13.4,-13.5,6,7,9,2,7,5,73,2,7
Marco Belinelli,pbp.2014,27,SAS,NBA,SF,23,356,,29%,67%,4%,,-8.9,-28.2,7,3,9,1,6,3,48,1,5
Marco Belinelli,pbp.2015,28,SAS,NBA,SG,7,116,3%,94%,3%,,,8.3,11.4,4,0,1,1,4,0,25,0,0
Marco Belinelli,pbp.2018,31,PHI,NBA,SG,10,273,,44%,56%,,,6.2,7.6,2,2,9,0,8,2,52,3,5
Marco Belinelli,pbp.2019,32,SAS,NBA,SG,7,131,,70%,30%,,,2.5,7.2,0,1,4,0,2,2,17,1,1
Jordan Bell,pbp.2018,23,GSW,NBA,C,17,173,,,5%,19%,76%,9.9,-0.4,1,2,9,0,7,0,36,0,4
Jordan Bell,pbp.2019,24,GSW,NBA,C,15,106,,,,7%,94%,-3.7,-7.9,0,0,6,2,5,0,28,0,3
Dāvis Bertāns,pbp.2017,24,SAS,NBA,PF,13,112,,,2%,98%,,9.7,10.6,6,0,5,0,0,0,9,0,0
Dāvis Bertāns,pbp.2018,25,SAS,NBA,PF,5,82,,,,94%,6%,0.5,15,0,1,3,0,3,1,12,0,1
Dāvis Bertāns,pbp.2019,26,SAS,NBA,PF,5,79,,,,100%,,8.1,13.1,1,0,9,0,2,0,10,0,0
Patrick Beverley,pbp.2013,24,HOU,NBA,PG,6,200,90%,10%,,,,1.5,22.8,3,1,6,2,3,4,39,1,5
Patrick Beverley,pbp.2014,25,HOU,NBA,PG,6,202,100%,,,,,-2,-5.9,1,1,6,1,3,3,25,0,4
Patrick Beverley,pbp.2016,27,HOU,NBA,PG,5,129,100%,,,,,-14,11.9,1,1,8,0,3,5,24,1,4
Patrick Beverley,pbp.2017,28,HOU,NBA,SG,11,325,1%,94%,6%,,,2.1,0.9,7,6,14,2,7,2,83,2,6
Patrick Beverley,pbp.2019,30,LAC,NBA,PG,6,195,100%,,,,,-13.6,-14.4,4,1,5,2,2,8,69,2,1
Khem Birch,pbp.2019,26,ORL,NBA,C,5,92,,,,,100%,-3.3,19.4,3,3,4,0,5,0,9,3,2
Bismack Biyombo,pbp.2014,21,CHA,NBA,C,3,48,,,,4%,96%,-9.1,2.2,0,0,2,0,0,0,2,0,0
Bismack Biyombo,pbp.2016,23,TOR,NBA,C,20,506,,,,1%,100%,-4.1,2.7,3,5,20,8,26,2,17,6,7
